State,District,Area,Pincode,,,,
Tamilnadu,Cuddalore,"Block 10,neyveli ",607801,,,,
Tamilnadu,Cuddalore,"Block 18, Neyveli ",607803,,,,
Tamilnadu,Cuddalore,"Block 24, Neyveli ",607801,,,,
Tamilnadu,Cuddalore,"Block 26, Neyveli ",607803,,,,
Tamilnadu,Cuddalore,"Block 27,. Neyveli ",607803,,,,
Tamilnadu,Cuddalore,"Block 29, Neyveli ",607807,,,,
Tamilnadu,Cuddalore,"Block 3, Neyveli ",607801,,,,
Tamilnadu,Cuddalore,"Block 5, Neyveli ",607803,,,,
Tamilnadu,Cuddalore,Budamur ,606001,,,,
Tamilnadu,Cuddalore,Budangudi ,608702,,,,
Tamilnadu,Cuddalore,Budavarayanpettai ,608601,,,,
Tamilnadu,Cuddalore,C  Keeranur ,606110,,,,
Tamilnadu,Cuddalore,C.Arasur ,608302,,,,
Tamilnadu,Cuddalore,C.Mutlur ,608102,,,,
Tamilnadu,Cuddalore,C.Pudupettai ,608502,,,,
Tamilnadu,Cuddalore,C.Sathamangalam ,608201,,,,
Tamilnadu,Cuddalore,C.Veeracholagam ,608602,,,,
Tamilnadu,Cuddalore,Capperquary ,607005,,,,
Tamilnadu,Cuddalore,Chellanchery ,605106,,,,
Tamilnadu,Cuddalore,Chettithangal ,608304,,,,
Tamilnadu,Cuddalore,Chidambaram ,608001,,,,
Tamilnadu,Cuddalore,Chidambaram ,608001,,,,
Tamilnadu,Cuddalore,Chidambaram Cutcherry ,608001,,,,
Tamilnadu,Cuddalore,Chidambaram East ,608001,,,,
Tamilnadu,Cuddalore,Chidambaram North ,608001,,,,
Tamilnadu,Cuddalore,Chidambaram West ,608001,,,,
Tamilnadu,Cuddalore,Chinnakannadi ,607302,,,,
Tamilnadu,Cuddalore,Chinnanargunam ,608704,,,,
Tamilnadu,Cuddalore,Chinnapanaickenpalayam ,607102,,,,
Tamilnadu,Cuddalore,Chinnaparur ,606104,,,,
Tamilnadu,Cuddalore,Cuddalore ,607001,,,,
Tamilnadu,Cuddalore,Cuddalore Court Buildings ,607001,,,,
Tamilnadu,Cuddalore,Cuddalore Old Town ,607003,,,,
Tamilnadu,Cuddalore,Cuddalore Ot Bazaar ,607003,,,,
Tamilnadu,Cuddalore,Cuddalore Port ,607003,,,,
Tamilnadu,Cuddalore,Cuddalore Public Offices ,607001,,,,
Tamilnadu,Cuddalore,Deevalur ,606110,,,,
Tamilnadu,Cuddalore,Dharmanallur ,606103,,,,
Tamilnadu,Cuddalore,E.Keeranur ,606106,,,,
Tamilnadu,Cuddalore,Edaiyur ,606302,,,,
Tamilnadu,Cuddalore,Edayarkuppam ,607102,,,,
Tamilnadu,Cuddalore,Elleri ,608303,,,,
Tamilnadu,Cuddalore,Elumedu ,607104,,,,
Tamilnadu,Cuddalore,Eluthur ,606303,,,,
Tamilnadu,Cuddalore,Enathirimangalam ,607108,,,,
Tamilnadu,Cuddalore,Ennanagaram ,608602,,,,
Tamilnadu,Cuddalore,Erumanur ,606001,,,,
Tamilnadu,Cuddalore,Erumbur ,608704,,,,
Tamilnadu,Cuddalore,Eyyalur ,608304,,,,
Tamilnadu,Cuddalore,Fort St.David ,607001,,,,
Tamilnadu,Cuddalore,Gandhi Nagar ,607308,,,,
Tamilnadu,Cuddalore,Gavarappattu ,608002,,,,
Tamilnadu,Cuddalore,Gopalapuram ,606103,,,,
Tamilnadu,Cuddalore,Gudalur ,606111,,,,
Tamilnadu,Cuddalore,Gudithangi ,607105,,,,
Tamilnadu,Cuddalore,Gunamangalam ,607109,,,,
Tamilnadu,Cuddalore,Gundu Uppalavadi ,607002,,,,
Tamilnadu,Cuddalore,Guruvappanpettai ,607302,,,,
Tamilnadu,Cuddalore,Idaichittur ,606104,,,,
Tamilnadu,Cuddalore,Iruppu ,607805,,,,
Tamilnadu,Cuddalore,Jayankondapattinam ,608002,,,,
Tamilnadu,Cuddalore,K.Adur ,608602,,,,
Tamilnadu,Cuddalore,K.Alambadi ,608602,,,,
Tamilnadu,Cuddalore,Kadambuliyur ,607103,,,,
Tamilnadu,Cuddalore,Kalaiyur ,607109,,,,
Tamilnadu,Cuddalore,Kalinjikuppam ,607104,,,,
Tamilnadu,Cuddalore,Kalkunam ,607302,,,,
Tamilnadu,Cuddalore,Kaludur ,606304,,,,
Tamilnadu,Cuddalore,Kammapuram ,606103,,,,
Tamilnadu,Cuddalore,Kanagasabainagar ,608001,,,,
Tamilnadu,Cuddalore,Kandakumaran ,608305,,,,
Tamilnadu,Cuddalore,Kandamangalam ,608301,,,,
Tamilnadu,Cuddalore,Kandrakottai ,607205,,,,
Tamilnadu,Cuddalore,Kanisapakkam ,607106,,,,
Tamilnadu,Cuddalore,Kanjankollai ,608304,,,,
Tamilnadu,Cuddalore,Kanur ,608701,,,,
Tamilnadu,Cuddalore,Kargudal ,606001,,,,
Tamilnadu,Cuddalore,Karnatham ,606104,,,,
Tamilnadu,Cuddalore,Karumbur ,607108,,,,
Tamilnadu,Cuddalore,Karunakaranallur ,608301,,,,
Tamilnadu,Cuddalore,Karunguli ,607303,,,,
Tamilnadu,Cuddalore,Karuppur ,608401,,,,
Tamilnadu,Cuddalore,Karuvepilankurichi ,606110,,,,
Tamilnadu,Cuddalore,Kathazhai ,606103,,,,
Tamilnadu,Cuddalore,Kattamuthupalayam,607205,,,,
Tamilnadu,Cuddalore,Kattugudalur ,607805,,,,
Tamilnadu,Cuddalore,Kattumailur ,606304,,,,
Tamilnadu,Cuddalore,Kattumannarkoil ,608301,,,,
Tamilnadu,Cuddalore,Kavalakudi ,608702,,,,
Tamilnadu,Cuddalore,Kavanur ,608703,,,,
Tamilnadu,Cuddalore,Keelamoongiladi ,608102,,,,
Tamilnadu,Cuddalore,Keelanuvampattu ,608102,,,,
Tamilnadu,Cuddalore,Keerapalayam ,608602,,,,
Tamilnadu,Cuddalore,Kilacheruvoi ,606106,,,,
Tamilnadu,Cuddalore,Kilakalpoondi ,606303,,,,
Tamilnadu,Cuddalore,Kilapalaiyur ,606103,,,,
Tamilnadu,Cuddalore,Kilarungunam ,607105,,,,
Tamilnadu,Cuddalore,Kilimangalam ,606105,,,,
Tamilnadu,Cuddalore,Kiliruppu ,607103,,,,
Tamilnadu,Cuddalore,Kilkangeyankuppam ,607805,,,,
Tamilnadu,Cuddalore,Kilkavarappattu ,607112,,,,
Tamilnadu,Cuddalore,Killai ,608102,,,,
Tamilnadu,Cuddalore,Kilmampattu ,607106,,,,
Tamilnadu,Cuddalore,Kilur ,607302,,,,
Tamilnadu,Cuddalore,Ko  Adhanur ,606001,,,,
Tamilnadu,Cuddalore,Ko Pavalangudi ,606104,,,,
Tamilnadu,Cuddalore,Kodukkanpalayam ,607003,,,,
Tamilnadu,Cuddalore,Kollimalai Kilpathi ,608303,,,,
Tamilnadu,Cuddalore,Kollimalai Melpathi ,608303,,,,
Tamilnadu,Cuddalore,Kollumedu ,608303,,,,
Tamilnadu,Cuddalore,Komaratchi ,608302,,,,
Tamilnadu,Cuddalore,Konankuppam ,606104,,,,
Tamilnadu,Cuddalore,Kondasamudram ,608701,,,,
Tamilnadu,Cuddalore,Kondur ,607002,,,,
Tamilnadu,Cuddalore,Kongarayanur ,607104,,,,
Tamilnadu,Cuddalore,Konur B.O,606105,,,,
Tamilnadu,Cuddalore,Korakkavadi ,606303,,,,
Tamilnadu,Cuddalore,Kosapallam ,606105,,,,
Tamilnadu,Cuddalore,Kothattai ,608501,,,,
Tamilnadu,Cuddalore,Kothattai ,606111,,,,
Tamilnadu,Cuddalore,Kothavacheri ,608601,,,,
Tamilnadu,Cuddalore,Kothavasal ,608305,,,,
Tamilnadu,Cuddalore,Kottagam ,607802,,,,
Tamilnadu,Cuddalore,Kotteri ,607804,,,,
Tamilnadu,Cuddalore,Kovilampoondi ,608002,,,,
Tamilnadu,Cuddalore,Kozhai ,608703,,,,
Tamilnadu,Cuddalore,Krishnankuppam ,607301,,,,
Tamilnadu,Cuddalore,Krishnapuram ,608602,,,,
Tamilnadu,Cuddalore,Kudimiyankuppam ,607101,,,,
Tamilnadu,Cuddalore,Kuduveli ,608305,,,,
Tamilnadu,Cuddalore,Kullanchavadi ,607301,,,,
Tamilnadu,Cuddalore,Kumarakud ,608702,,,,
Tamilnadu,Cuddalore,Kumaramangalam ,607205,,,,
Tamilnadu,Cuddalore,Kummidimulai ,608601,,,,
Tamilnadu,Cuddalore,Kunamangalam ,608703,,,,
Tamilnadu,Cuddalore,Kundiyamallur ,607301,,,,
Tamilnadu,Cuddalore,Kunjimedu ,608306,,,,
Tamilnadu,Cuddalore,Kuppanatham ,606001,,,,
Tamilnadu,Cuddalore,Kuriamangalam ,608501,,,,
Tamilnadu,Cuddalore,Kurinjipadi ,607302,,,,
Tamilnadu,Cuddalore,Lakkur ,606303,,,,
Tamilnadu,Cuddalore,Lakshminarayanapuram ,607106,,,,
Tamilnadu,Cuddalore,Lalpet ,608303,,,,
Tamilnadu,Cuddalore,Lalpuram ,608602,,,,
Tamilnadu,Cuddalore,M.Adhanur ,608304,,,,
Tamilnadu,Cuddalore,M.Kolakudi ,608301,,,,
Tamilnadu,Cuddalore,M.Odaiyur ,608303,,,,
Tamilnadu,Cuddalore,M.Pudur ,607004,,,,
Tamilnadu,Cuddalore,M.Puliyangudi ,608302,,,,
Tamilnadu,Cuddalore,Ma Podaiyur ,606108,,,,
Tamilnadu,Cuddalore,Madanagopalapuram ,607301,,,,
Tamilnadu,Cuddalore,Maduranthaganallur ,608201,,,,
Tamilnadu,Cuddalore,Malayanur ,606108,,,,
Tamilnadu,Cuddalore,Maligaimedu ,607112,,,,
Tamilnadu,Cuddalore,Maligampattu ,607106,,,,
Tamilnadu,Cuddalore,Mamangalam ,608701,,,,
Tamilnadu,Cuddalore,Manamthavizhnthaputhur ,607101,,,,
Tamilnadu,Cuddalore,Manavalanallur ,606001,,,,
Tamilnadu,Cuddalore,Mangalam ,606104,,,,
Tamilnadu,Cuddalore,Mangalur ,606108,,,,
Tamilnadu,Cuddalore,Maniadur ,608303,,,,
Tamilnadu,Cuddalore,Manikollai ,608501,,,,
Tamilnadu,Cuddalore,Manjakkuppam ,607001,,,,
Tamilnadu,Cuddalore,Manjakollai ,608601,,,,
Tamilnadu,Cuddalore,Manjakuli ,608501,,,,
Tamilnadu,Cuddalore,Mariappanagar ,608002,,,,
Tamilnadu,Cuddalore,Mariasusainagar ,607001,,,,
Tamilnadu,Cuddalore,Marudadu ,607109,,,,
Tamilnadu,Cuddalore,Marudur ,608704,,,,
Tamilnadu,Cuddalore,Marungur ,608703,,,,
Tamilnadu,Cuddalore,Marungur ,607103,,,,
Tamilnadu,Cuddalore,Maruvai ,607303,,,,
Tamilnadu,Cuddalore,Mathalapattu ,605007,,,,
Tamilnadu,Cuddalore,Mathur ,606001,,,,
Tamilnadu,Cuddalore,Melakadambur ,608304,,,,
Tamilnadu,Cuddalore,Melakolakudi ,607802,,,,
Tamilnadu,Cuddalore,Melakuppam ,607802,,,,
Tamilnadu,Cuddalore,Melamanakudi ,608601,,,,
Tamilnadu,Cuddalore,Melapalachanallur ,608301,,,,
Tamilnadu,Cuddalore,Melaparuthikudi ,608302,,,,
Tamilnadu,Cuddalore,Melavanniyur ,608302,,,,
Tamilnadu,Cuddalore,Melkavrapattu ,607112,,,,
Tamilnadu,Cuddalore,Melmampattu ,607103,,,,
Tamilnadu,Cuddalore,Melpathi ,607105,,,,
Tamilnadu,Cuddalore,Melpattambakkam ,607104,,,,
Tamilnadu,Cuddalore,Melur ,606111,,,,
Tamilnadu,Cuddalore,Mettukkuppam ,607802,,,,
Tamilnadu,Cuddalore,Miralur ,608601,,,,
Tamilnadu,Cuddalore,Mogaiyur ,608305,,,,
Tamilnadu,Cuddalore,Moolakuppam ,607303,,,,
Tamilnadu,Cuddalore,Movur ,608306,,,,
Tamilnadu,Cuddalore,Mudanai ,607804,,,,
Tamilnadu,Cuddalore,Mudapuli ,607805,,,,
Tamilnadu,Cuddalore,Mudikandanallur ,608702,,,,
Tamilnadu,Cuddalore,Mukhasaparur ,606120,,,,
Tamilnadu,Cuddalore,Mullangudi ,608302,,,,
Tamilnadu,Cuddalore,Murugangudi ,606105,,,,
Tamilnadu,Cuddalore,Muttam ,608306,,,,
Tamilnadu,Cuddalore,N. Naraiyur ,606304,,,,
Tamilnadu,Cuddalore,N.Moolakuppam ,607102,,,,
Tamilnadu,Cuddalore,Nadukkuppam ,607103,,,,
Tamilnadu,Cuddalore,Naduveerappattu ,607102,,,,
Tamilnadu,Cuddalore,Nagar ,606302,,,,
Tamilnadu,Cuddalore,Nagarapadi ,608703,,,,
Tamilnadu,Cuddalore,Nakkaravanthankudi ,608002,,,,
Tamilnadu,Cuddalore,Nallathur ,605106,,,,
Tamilnadu,Cuddalore,Nallur ,606302,,,,
Tamilnadu,Cuddalore,Nandesswaramangalam ,608702,,,,
Tamilnadu,Cuddalore,Nangudi ,608702,,,,
Tamilnadu,Cuddalore,Nanjalur ,608302,,,,
Tamilnadu,Cuddalore,Nanjamahathuvazkai ,608102,,,,
Tamilnadu,Cuddalore,Natham ,607101,,,,
Tamilnadu,Cuddalore,Nathapattu ,607109,,,,
Tamilnadu,Cuddalore,Nattarmangalam ,608301,,,,
Tamilnadu,Cuddalore,Nellikkuppam ,607105,,,,
Tamilnadu,Cuddalore,Nellikkuppam East ,607105,,,,
Tamilnadu,Cuddalore,Nellikuppam Bazaar ,607105,,,,
Tamilnadu,Cuddalore,Neyvasal ,608303,,,,
Tamilnadu,Cuddalore,Neyveli 1 ,607801,,,,
Tamilnadu,Cuddalore,Neyveli 2 ,607802,,,,
Tamilnadu,Cuddalore,Neyveli 3 ,607803,,,,
Tamilnadu,Cuddalore,Neyveli General Hospital ,607803,,,,
Tamilnadu,Cuddalore,Neyveli Ii Thermal Station ,607807,,,,
Tamilnadu,Cuddalore,Neyveli Second Mines ,607802,,,,
Tamilnadu,Cuddalore,Neyveli Thermal Bus Stand ,607807,,,,
Tamilnadu,Cuddalore,Nithinatham ,606304,,,,
Tamilnadu,Cuddalore,Odakkanallur ,608201,,,,
Tamilnadu,Cuddalore,Odappankuppam ,607805,,,,
Tamilnadu,Cuddalore,Omampuliyur ,608306,,,,
Tamilnadu,Cuddalore,Oomangalam ,607804,,,,
Tamilnadu,Cuddalore,Oraiyur ,607108,,,,
Tamilnadu,Cuddalore,Orangur ,606108,,,,
Tamilnadu,Cuddalore,Orathur ,608201,,,,
Tamilnadu,Cuddalore,Ottimedu ,606103,,,,
Tamilnadu,Cuddalore,Pachayankuppam ,607003,,,,
Tamilnadu,Cuddalore,Padirikuppam ,607401,,,,
Tamilnadu,Cuddalore,Pagandai ,607112,,,,
Tamilnadu,Cuddalore,Palayamkottai Melpathy ,608701,,,,
Tamilnadu,Cuddalore,Palayamkottai(CDL),608701,,,,
Tamilnadu,Cuddalore,Palayapattinam ,606001,,,,
Tamilnadu,Cuddalore,Pali ,606104,,,,
Tamilnadu,Cuddalore,Pallavarayanatham ,607102,,,,
Tamilnadu,Cuddalore,Palur ,607102,,,,
Tamilnadu,Cuddalore,Panikuppam ,607106,,,,
Tamilnadu,Cuddalore,Pannapattu ,608201,,,,
Tamilnadu,Cuddalore,Panruti ,607106,,,,
Tamilnadu,Cuddalore,Panruti Bazaar ,607106,,,,
Tamilnadu,Cuddalore,Panruti East ,607106,,,,
Tamilnadu,Cuddalore,Panruti West ,607106,,,,
Tamilnadu,Cuddalore,Paradur ,608201,,,,
Tamilnadu,Cuddalore,Parangipettai ,608502,,,,
Tamilnadu,Cuddalore,Paravalur ,606001,,,,
Tamilnadu,Cuddalore,Pasar ,606304,,,,
Tamilnadu,Cuddalore,Pelandurai ,606105,,,,
Tamilnadu,Cuddalore,Pennadam ,606111,,,,
Tamilnadu,Cuddalore,Pennadam ,606105,,,,
Tamilnadu,Cuddalore,Perambalur ,606302,,,,
Tamilnadu,Cuddalore,Perampattu ,608002,,,,
Tamilnadu,Cuddalore,Periyakappankulam ,607802,,,,
Tamilnadu,Cuddalore,Periyakomatti ,608501,,,,
Tamilnadu,Cuddalore,Periyakottumulai ,606103,,,,
Tamilnadu,Cuddalore,Periyakuppam ,608801,,,,
Tamilnadu,Cuddalore,Periyanellikkollai ,608704,,,,
Tamilnadu,Cuddalore,Periyanesalur ,606304,,,,
Tamilnadu,Cuddalore,Perperiyankuppam ,607805,,,,
Tamilnadu,Cuddalore,Perumalnaickenpalayam ,607104,,,,
Tamilnadu,Cuddalore,Perumulai ,606106,,,,
Tamilnadu,Cuddalore,Perungalur ,608305,,,,
Tamilnadu,Cuddalore,Perur ,608701,,,,
Tamilnadu,Cuddalore,Pethanaickenkuppam ,607302,,,,
Tamilnadu,Cuddalore,Pichavaram ,608002,,,,
Tamilnadu,Cuddalore,Pillaiyarthangal ,608303,,,,
Tamilnadu,Cuddalore,Pillur ,606304,,,,
Tamilnadu,Cuddalore,Pinnalur ,608704,,,,
Tamilnadu,Cuddalore,Pinnathur ,608102,,,,
Tamilnadu,Cuddalore,Ponnanthittu ,608102,,,,
Tamilnadu,Cuddalore,Poochimedu ,608801,,,,
Tamilnadu,Cuddalore,Poolambadi ,606304,,,,
Tamilnadu,Cuddalore,Poondi ,608703,,,,
Tamilnadu,Cuddalore,Poondiyankuppam ,607005,,,,
Tamilnadu,Cuddalore,Poovanikkuppam ,608801,,,,
Tamilnadu,Cuddalore,Pothiramangalam ,606111,,,,
Tamilnadu,Cuddalore,Poynapadi ,606304,,,,
Tamilnadu,Cuddalore,Pudaiyur ,608701,,,,
Tamilnadu,Cuddalore,Puduchatram ,608501,,,,
Tamilnadu,Cuddalore,Pudupalayam ,607001,,,,
Tamilnadu,Cuddalore,Pulamedu ,608302,,,,
Tamilnadu,Cuddalore,Pulavanur ,607205,,,,
Tamilnadu,Cuddalore,Puliyur ,607301,,,,
Tamilnadu,Cuddalore,Puthupet (CDL) ,607108,,,,
Tamilnadu,Cuddalore,Puvalai ,608601,,,,
Tamilnadu,Cuddalore,Puvanur ,606104,,,,
Tamilnadu,Cuddalore,Pythambadi ,607101,,,,
Tamilnadu,Cuddalore,Rajendra Cholagam ,608301,,,,
Tamilnadu,Cuddalore,Rajendra Pattinam ,608703,,,,
Tamilnadu,Cuddalore,Ramapuram ,607003,,,,
Tamilnadu,Cuddalore,Ramapuram ,608701,,,,
Tamilnadu,Cuddalore,Reddichavadi ,607402,,,,
Tamilnadu,Cuddalore,Reddiyur ,608304,,,,
Tamilnadu,Cuddalore,Rettakurichi ,606304,,,,
Tamilnadu,Cuddalore,Sakkangudi ,608201,,,,
Tamilnadu,Cuddalore,Salianthoppu ,608401,,,,
Tamilnadu,Cuddalore,Samattikuppam ,607301,,,,
Tamilnadu,Cuddalore,Samiyarpettai ,608502,,,,
Tamilnadu,Cuddalore,Sangolikuppam ,607005,,,,
Tamilnadu,Cuddalore,Sathamangalam ,606001,,,,
Tamilnadu,Cuddalore,Sathanatham ,606111,,,,
Tamilnadu,Cuddalore,Sathankuppam ,607004,,,,
Tamilnadu,Cuddalore,Sathapadi ,608601,,,,
Tamilnadu,Cuddalore,Sathapadi ,606103,,,,
Tamilnadu,Cuddalore,Sathipattu ,607106,,,,
Tamilnadu,Cuddalore,Sathiyam ,606302,,,,
Tamilnadu,Cuddalore,Sathiyavadi ,606110,,,,
Tamilnadu,Cuddalore,Sathukudal ,606110,,,,
Tamilnadu,Cuddalore,Sedapalayam ,607003,,,,
Tamilnadu,Cuddalore,Seemanthottam ,607003,,,,
Tamilnadu,Cuddalore,Sellankuppam ,607003,,,,
Tamilnadu,Cuddalore,Semmandalam ,607001,,,,
Tamilnadu,Cuddalore,Semmedu ,607106,,,,
Tamilnadu,Cuddalore,Semokottai ,607106,,,,
Tamilnadu,Cuddalore,Seplanatham ,607802,,,,
Tamilnadu,Cuddalore,Seppakkam ,606302,,,,
Tamilnadu,Cuddalore,Serakuppam ,607303,,,,
Tamilnadu,Cuddalore,Sethiathope ,608702,,,,
Tamilnadu,Cuddalore,Sevveri ,606106,,,,
Tamilnadu,Cuddalore,Shandan ,608304,,,,
Tamilnadu,Cuddalore,Sholathiram ,608701,,,,
Tamilnadu,Cuddalore,Sholavalli ,607105,,,,
Tamilnadu,Cuddalore,Silambimangalam ,608801,,,,
Tamilnadu,Cuddalore,Silambinathanpettai ,607102,,,,
Tamilnadu,Cuddalore,Singirikoil ,605007,,,,
Tamilnadu,Cuddalore,Sipcot Cuddalore ,607005,,,,
Tamilnadu,Cuddalore,Sirugramam ,607101,,,,
Tamilnadu,Cuddalore,Sirukattur ,608304,,,,
Tamilnadu,Cuddalore,Sirumangalam ,606302,,,,
Tamilnadu,Cuddalore,Sirumulai ,606106,,,,
Tamilnadu,Cuddalore,Sirupakkam ,606123,,,,
Tamilnadu,Cuddalore,Siruthondamadevi ,607103,,,,
Tamilnadu,Cuddalore,Siruvathur ,607106,,,,
Tamilnadu,Cuddalore,Sithamalli ,608301,,,,
Tamilnadu,Cuddalore,Sivapuri ,608002,,,,
Tamilnadu,Cuddalore,Small Bazaar ,608502,,,,
Tamilnadu,Cuddalore,Sornavur Melpathi ,607104,,,,
Tamilnadu,Cuddalore,Sri Adivaraganallur ,608703,,,,
Tamilnadu,Cuddalore,Sri Pudur ,608703,,,,
Tamilnadu,Cuddalore,Sri Vakkaramari ,608703,,,,
Tamilnadu,Cuddalore,Srimushnam ,608703,,,,
Tamilnadu,Cuddalore,Srinedunjeri ,608703,,,,
Tamilnadu,Cuddalore,Suba Uppalavadi ,607002,,,,
Tamilnadu,Cuddalore,Subramaniyapuram ,607301,,,,
Tamilnadu,Cuddalore,Sundaravandi,607401,,,,
Tamilnadu,Cuddalore,Suravilandur ,608302,,,,
Tamilnadu,Cuddalore,T   Gopurapuram ,606001,,,,
Tamilnadu,Cuddalore,T.Nedunjeri ,608305,,,,
Tamilnadu,Cuddalore,T.Palayam ,607301,,,,
Tamilnadu,Cuddalore,Temmur ,608302,,,,
Tamilnadu,Cuddalore,Terkuviruthangam ,608305,,,,
Tamilnadu,Cuddalore,Thachur ,606303,,,,
Tamilnadu,Cuddalore,Thandavankuppam ,607802,,,,
Tamilnadu,Cuddalore,Thatchakadu ,608501,,,,
Tamilnadu,Cuddalore,Thattampalayam ,607205,,,,
Tamilnadu,Cuddalore,Theerthanagiri ,608801,,,,
Tamilnadu,Cuddalore,Theethampalayam ,608501,,,,
Tamilnadu,Cuddalore,Therku Vadakku Puthur ,606110,,,,
Tamilnadu,Cuddalore,Thillaividangan ,608102,,,,
Tamilnadu,Cuddalore,Thiyagavalli ,608801,,,,
Tamilnadu,Cuddalore,Thokkanambakkam ,607402,,,,
Tamilnadu,Cuddalore,Thondamanatham ,607301,,,,
Tamilnadu,Cuddalore,Thoravalur ,606001,,,,
Tamilnadu,Cuddalore,Thottikuppam ,606001,,,,
Tamilnadu,Cuddalore,Tirukandeeswaram ,607105,,,,
Tamilnadu,Cuddalore,Tirumanikuzhi ,607401,,,,
Tamilnadu,Cuddalore,Tirunaraiyur ,608303,,,,
Tamilnadu,Cuddalore,Tirupadiripuliyur ,607002,,,,
Tamilnadu,Cuddalore,Tiruppadiripuliyur Bazaar ,607002,,,,
Tamilnadu,Cuddalore,Tiruppadiripuliyur West ,607002,,,,
Tamilnadu,Cuddalore,Tiruthuraiyur ,607205,,,,
Tamilnadu,Cuddalore,Tiruvamur,607106,,,,
Tamilnadu,Cuddalore,Tiruvatigai ,607106,,,,
Tamilnadu,Cuddalore,Tiruvattathurai ,606111,,,,
Tamilnadu,Cuddalore,Tiruvendhipuram ,607401,,,,
Tamilnadu,Cuddalore,Tittagudi ,606106,,,,
Tamilnadu,Cuddalore,Tolar ,606111,,,,
Tamilnadu,Cuddalore,Toludur ,606303,,,,
Tamilnadu,Cuddalore,U  Agaram ,607804,,,,
Tamilnadu,Cuddalore,Udayargudi ,608301,,,,
Tamilnadu,Cuddalore,Uthamacholamangalam ,608002,,,,
Tamilnadu,Cuddalore,Uttangal ,607804,,,,
Tamilnadu,Cuddalore,Vadakkumangudi ,608401,,,,
Tamilnadu,Cuddalore,Vadakkupalayam ,608701,,,,
Tamilnadu,Cuddalore,Vadakkuvelur ,607802,,,,
Tamilnadu,Cuddalore,Vadakuthu ,607303,,,,
Tamilnadu,Cuddalore,Vadalur ,607303,,,,
Tamilnadu,Cuddalore,Vadathalaikulam ,608704,,,,
Tamilnadu,Cuddalore,Vagaiyur ,606106,,,,
Tamilnadu,Cuddalore,Vaithianathapuram ,606303,,,,
Tamilnadu,Cuddalore,Vaiyur ,608401,,,,
Tamilnadu,Cuddalore,Vakkur ,608201,,,,
Tamilnadu,Cuddalore,Valakollai ,608702,,,,
Tamilnadu,Cuddalore,Valasakkadu ,608701,,,,
Tamilnadu,Cuddalore,Valayamadevi ,608704,,,,
Tamilnadu,Cuddalore,Valisodanaipalayam ,607003,,,,
